"hex","date","datenum","gonio_bearing_deg","strength_db","platform","ptt","deployid","lon","lat","boat_bearing_deg","boat_speed_kph","gps_gonio_time_difference_s"
"1002813","2021-06-29 16:31:03",1624984263,23,-120,"barber",201585,"ZcTag112_DUML",-74.7042817,35.5489283,130.117469745191,2.24208179935602,-6.54099988937378
"1002813","2021-06-29 16:31:03",1624984263,23,-120,"barber",201585,"ZcTag112_DUML",-74.7042817,35.5489283,130.117469745191,2.24208179935602,-6.54099988937378
"1002813","2021-06-29 16:31:03",1624984263,23,-120,"barber",201585,"ZcTag112_DUML",-74.7042817,35.5489283,130.117469745191,2.24208179935602,-6.54099988937378
"1002813","2021-06-29 16:31:22",1624984282,333,-103,"barber",201585,"ZcTag112_DUML",-74.7041817,35.5488817,119.801863147394,2.1858438017756,-8.36999988555908
"1002813","2021-06-29 16:31:22",1624984282,333,-103,"barber",201585,"ZcTag112_DUML",-74.7041817,35.5488817,119.801863147394,2.1858438017756,-8.36999988555908
"1002813","2021-06-29 16:31:22",1624984282,333,-103,"barber",201585,"ZcTag112_DUML",-74.7041817,35.5488817,119.801863147394,2.1858438017756,-8.36999988555908
"1002813","2021-06-29 16:31:39",1624984299,9,-116,"barber",201585,"ZcTag112_DUML",-74.7041017,35.5488183,134.246593525976,1.98922115384881,-7.08500003814697
"1002813","2021-06-29 16:31:39",1624984299,9,-116,"barber",201585,"ZcTag112_DUML",-74.7041017,35.5488183,134.246593525976,1.98922115384881,-7.08500003814697
"1002813","2021-06-29 16:31:39",1624984299,9,-116,"barber",201585,"ZcTag112_DUML",-74.7041017,35.5488183,134.246593525976,1.98922115384881,-7.08500003814697
"1002813","2021-06-29 16:31:56",1624984316,343,-95,"barber",201585,"ZcTag112_DUML",-74.70402,35.5487533,134.358150301263,1.90258749308768,-4.5239999294281
"1002813","2021-06-29 16:31:56",1624984316,343,-95,"barber",201585,"ZcTag112_DUML",-74.70402,35.5487533,134.358150301263,1.90258749308768,-4.5239999294281
"1002813","2021-06-29 16:31:56",1624984316,343,-95,"barber",201585,"ZcTag112_DUML",-74.70402,35.5487533,134.358150301263,1.90258749308768,-4.5239999294281
"1002813","2021-06-29 16:32:18",1624984338,345,-76,"barber",201585,"ZcTag112_DUML",-74.703765,35.5485617,130.071551643302,11.1222276110594,-0.365999937057495
"1002813","2021-06-29 16:32:18",1624984338,345,-76,"barber",201585,"ZcTag112_DUML",-74.703765,35.5485617,130.071551643302,11.1222276110594,-0.365999937057495
"1002813","2021-06-29 16:32:18",1624984338,345,-76,"barber",201585,"ZcTag112_DUML",-74.703765,35.5485617,130.071551643302,11.1222276110594,-0.365999937057495
"1002813","2021-06-29 16:32:50",1624984370,347,-63,"barber",201585,"ZcTag112_DUML",-74.703825,35.5461783,182.383342649021,31.7393536655523,1.40100002288818
"1002813","2021-06-29 16:32:50",1624984370,347,-63,"barber",201585,"ZcTag112_DUML",-74.703825,35.5461783,182.383342649021,31.7393536655523,1.40100002288818
"1002813","2021-06-29 16:32:50",1624984370,347,-63,"barber",201585,"ZcTag112_DUML",-74.703825,35.5461783,182.383342649021,31.7393536655523,1.40100002288818
"1002813","2021-06-29 17:46:03",1624988763,29,-113,"barber",201585,"ZcTag112_DUML",-74.6941717,35.5438383,21.0778129348747,4.93049864527704,-1.08699989318848
"1002813","2021-06-29 17:46:03",1624988763,29,-113,"barber",201585,"ZcTag112_DUML",-74.6941717,35.5438383,21.0778129348747,4.93049864527704,-1.08699989318848
"1002813","2021-06-29 17:46:03",1624988763,29,-113,"barber",201585,"ZcTag112_DUML",-74.6941717,35.5438383,21.0778129348747,4.93049864527704,-1.08699989318848
"1002879","2021-06-29 17:46:17",1624988777,36,-102,"barber",201591,"ZcTag113_DUML",-74.6940583,35.544015,26.0134854619766,5.18149436722239,0.45199990272522
"1002879","2021-06-29 17:46:17",1624988777,36,-102,"barber",201591,"ZcTag113_DUML",-74.6940583,35.544015,26.0134854619766,5.18149436722239,0.45199990272522
"1002879","2021-06-29 17:46:17",1624988777,36,-102,"barber",201591,"ZcTag113_DUML",-74.6940583,35.544015,26.0134854619766,5.18149436722239,0.45199990272522
"1002813","2021-06-29 17:46:20",1624988780,350,-107,"barber",201585,"ZcTag112_DUML",-74.6940583,35.544015,26.0134854619766,5.18149436722239,-2.54800009727478
"1002813","2021-06-29 17:46:20",1624988780,350,-107,"barber",201585,"ZcTag112_DUML",-74.6940583,35.544015,26.0134854619766,5.18149436722239,-2.54800009727478
"1002813","2021-06-29 17:46:20",1624988780,350,-107,"barber",201585,"ZcTag112_DUML",-74.6940583,35.544015,26.0134854619766,5.18149436722239,-2.54800009727478
