ID,Age Class,Sex,Confidence,Reason,Tag ID,Biopsy,Genetics,Falcone Age Category,Falcone Age,Falcone Sex,Cascadia Age,Cascadia Gender,Comments
Zca_Rakes_003,Unknown,Unknown,,Brown; minimal scarring; no teeth,ZcTag029,,,Juvenile- 2014,Juvenile- 2014,Female,Adult,Female,
Zca_Rakes_003,Unknown,Unknown,,Brown; minimal scarring; no teeth,ZcTag029,,,Subadult- 2018,Subadult- 2018,Female,,,
Zca_Rakes_007,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Juvenile,Juvenile,Unk,,,
Zca_Rakes_008,Adult,Female,High,With calf in 2014,ZcTag047,,,Reproductive,Adult,Female,Subadult ,Unkown,
Zca_Rakes_009,Unknown,Unknown,,Minimal scarring; white head,,,,Adult,Adult,Female,,,
Zca_Rakes_010,Adult,Male,Med High,White animal; heavy scarring; possible teeth,,,,Reproductive,Adult,Male,,,
Zca_Rakes_011,Adult,Male,Med High,Erupted teeth (?); not a lot of scarring,ZcTag070,,,Reproductive,Adult,Male,Adult,Male,
Zca_Rakes_012,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult,Subadult ,Male,,,
Zca_Rakes_013,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_014,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult,Subadult ,Female,,,
Zca_Rakes_016,Unknown,Unknown,,Light gray; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_017,Adult,Male,Medium,Moderate scarring,,,,Adult,Adult,Male,,,
Zca_Rakes_018,Adult,Female,,Minimal scarring; no teeth; genetics; size for Adult,,ZTS_15_017,Female,Adult,Adult,Female,,,
Zca_Rakes_019,Unknown,Unknown,,Brown; minimal scarring; white head ,,,,Adult,Adult,Female,,,
Zca_Rakes_020,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_021,Unknown,Unknown,,Brown; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_022,Adult,Male,Med High,Heavy scarring; white head,ZcTag041,,,Adult,Adult,Male,Adult,,
Zca_Rakes_023,Unknown,Unknown,,Gray; minimal scarring; no teeth,,,,Subadult- 2015,Subadult- 2015,Female,,,
Zca_Rakes_023,Unknown,Unknown,,Gray; minimal scarring; no teeth,,,,Adult- 2019,Adult- 2019,Female,,,
Zca_Rakes_025,Unknown,Unknown,,Gray; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_026,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_027,Adult,Male,,Erupted teeth; genetics,,,Male,Subadult- 2015,Subadult- 2015,Male,,,Had scored as U/U but changed to A/M in 2022- 2020 photo of teeth
Zca_Rakes_027,Adult,Male,,Erupted teeth; genetics,,HJF_20_009,,Adult- 2018,Adult- 2018,Male,,,
Zca_Rakes_027,Adult,Male,,Erupted teeth; genetics,,,,Reproductive- 2020,Adult,Male,,,
Zca_Rakes_028,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_029,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_Rakes_032,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,Weird jaw (?)
Zca_Rakes_033,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_035,Adult,Male,Medium,Moderate scarring; paler head,ZcTag048,,,Adult,Adult,Male,Adult,Male,
Zca_Rakes_037,Adult,Female,High,With calf in 2014 (WRC + DMW confirmed),,,,Reproductive,Adult,Female,,,
Zca_Rakes_038,Unknown,Unknown,,Brown; minimal scarring,ZcTag031,,,Unk,Unk,Unk,Adult,Female,
Zca_Rakes_042,Unknown,Unknown,,Brown; minimal scarring,ZcTag050,,,Adult,Adult,Female,Adult,Female,
Zca_Rakes_043,Adult,Female,High,With calf,,,,Reproductive,Adult,Female,,,
Zca_Rakes_044,Adult,Male,High,Erupted teeth; missing a tooth,,,,Reproductive,Adult,Male,,,Missing one tooth
Zca_Rakes_045,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_046,Adult,Female,,With calf in 2020,,,,Adult- 2016,Adult- 2016,Female,,,
Zca_Rakes_046,Adult,Female,,With calf in 2020,,,,Reproductive- 2020,Adult- 2016,Female,,,
Zca_Rakes_047,Adult,Female,,With calf in 2013 (EK and EF confirm),,,,Reproductive,Adult,Female,,,
Zca_Rakes_048,Unknown,Unknown,,Brown; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_049,Unknown,Unknown,,Brown; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_050,Unknown,Unknown,,Brown; minimal scarring; no teeth ,ZcTag057,,,Adult,Adult,Female,Adult,Unkown,
Zca_Rakes_051,Unknown,Unknown,,Brown; minimal scarring,ZcTag058,,,Adult,Adult,Female,Subadult,Unkown,
Zca_Rakes_052,Unknown,Unknown,,Brown; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_053,Unknown,Unknown,,Brown; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_054,Adult,Male,High,Erupted teeth (Internal match to Rakes_036),ZcTag049; ZcTag099,HJF_20_005,Male,Reproductive,Adult,Male,Adult,Male,
Zca_Rakes_056,Unknown,Unknown,,Grey; Minimal scarring,,,,Subadult,Subadult ,Male,,,
Zca_Rakes_057,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_Rakes_058,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_Rakes_059,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Subadult,Subadult ,Male,,,
Zca_Rakes_060,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult/Juvenile,Subadult/Juvenile,Female,,,
Zca_Rakes_061,Unknown,Unknown,,Brown; minimal scarring,,,,Adult,Adult,Male,,,
Zca_Rakes_065,Unknown,Unknown,,Brown; minimal scarring,,,,Adult,Adult,Female,,,
Zca_Rakes_067,Adult,Male,High,Erupted teeth,ZcTag060,,,Reproductive,Adult,Male,Adult,Male,
Zca_Rakes_068,Unknown,Unknown,,Grey; minimal scarring; white head,,,,Adult,Adult,Female,,,
Zca_Rakes_069,Adult,Male,Med High,Heavy scarring; white head,,,,Adult,Adult,Male,,,
Zca_Rakes_070,Unknown,Unknown,,Brown; minimal scarring; pale head,Zca_17_234a,,,Adult,Adult,Female,,,
Zca_Rakes_071,Unknown,Female,High,With calf in 2017 (WRC + DMW confirmed),ZcTag081,,,Reproductive,Adult,Female,Sub-Adult,Unknown,
Zca_Rakes_072,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_073,Adult,Male,High,Erupted teeth,ZcTag067,,,Reproductive,Adult,Male,Adult,Male,
Zca_Rakes_074,Unknown,Unknown,,Brown; minimal scarring; no teeth ,,,,Adult,Adult,Female,,,
Zca_Rakes_075,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult,Adult,Female,,,
