ID,Age Class,Sex,Confidence,Reason,Tag ID,Biopsy,Genetics,Falcone Age Category,Falcone Age,Falcone Sex,Cascadia Age,Cascadia Gender,Comments
Zca_Rakes_135,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult,Subadult ,Female,,,
Zca_Rakes_136,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Juvenile,Juvenile,Unk,,,
Zca_Rakes_137,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult,Subadult ,Female,,,
Zca_Rakes_138,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult ,Adult,Female,,,
Zca_Rakes_139,Unknown,Unknown,,Grey; minimal scarring; no teeth,ZcTag093,,,Adult ,Adult,Female,,,
Zca_Rakes_140,Adult ,Female,High,Brown; minimal scarring; no teeth; Mom of Zca_Rakes_141- 2019,,,,Reproductive,Adult,Female,,,
Zca_Rakes_141,Calf,Unknown,High,Brown; minimal scarring; no teeth; Calf of Zca_Rakes_140- 2019,,,,Calf- older,Calf- older,Unk,,,
Zca_Rakes_142,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult ,Adult,Female,,,
Zca_Rakes_143,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_144,Unknown,Unknown,,Brown; minimal scarring; no teeth (?),,,,Adult ,Adult,Female,,,
Zca_Rakes_145,Unknown,Unknown,,Grey; minimal scarring; no teeth,,,,Adult/Subadult,Adult/Subadult,Female/Male,,,
Zca_Rakes_146,Adult,Male,High,Erupted teeth,ZcTag101,,,Reproductive,Adult,Male,,,
Zca_Rakes_147,Unknown,Unknown,,Grey; minimal scarring; no teeth; white head,,,,Adult ,Adult,Female,,,
Zca_Rakes_148,Calf ,Unknown,,Brown; minimal scarring; no teeth; calf of Zca_065; Likely 3063,,,,Calf- older,Calf- older,Unk,,,
Zca_Rakes_149,Unknown,Unknown,,Moderate scarring,,,,Adult,Adult,Male,,,
Zca_Rakes_150,Adult ,Female,High,Brown; minimal scarring; no teeth; with calf- 2019,,,,Reproductive,Adult,Female,,,
Zca_Rakes_151,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Unk,Unk,Unk,,,
Zca_Rakes_152,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Juvenile,Juvenile,Unk,,,
Zca_Rakes_153,Adult,Female,High,With calf in 2019 (WRC + DMW confirm),,,,Reproductive,Adult,Female,,,
Zca_Rakes_154,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult ,Adult,Female,,,
Zca_Rakes_155,Unknown,Unknown,,Brown; minimal scarring; no teeth,ZcTag097,,,Adult ,Adult,Female,,,
Zca_Rakes_156,Unknown,Unknown,,Brown; minimal scarring,,,,Adult ,Adult,Female,,,
Zca_Rakes_157,Unknown,Unknown,,Grey; minimal scarring; no teeth; white head,,,,Adult ,Adult,Female,,,
Zca_Rakes_158,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult,Subadult ,Female,,,
Zca_Rakes_159,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult ,Adult,Female,,,
Zca_Rakes_160,Unknown,Unknown,,Brown; minimal scarring,,,,Adult ,Adult,Female,,,
Zca_Rakes_161,Unknown,Unknown,,Brown; moderate scarring; no teeth,,,,Reproductive,Adult,Female,,,Interesting scars; not from a Zca and sucker marks (?)
Zca_Rakes_162,Unknown,Unknown,,Grey; moderate scarring; no teeth; white head,ZcTag104,,,Subadult,Subadult ,Male,,,
Zca_Rakes_163,Unknown,Unknown,,Brown; minimal scarring; no teeth; Possibly Zca_Number10_20200807_S3,,,,Juvenile,Juvenile,Unk,,,
Zca_Rakes_164,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Subadult,Subadult ,Male,,,
Zca_Rakes_165,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Juvenile,Juvenile,Unk,,,
Zca_Rakes_166,Adult,Male,High,Erupted teeth,ZcTag110,,,Reproductive,Adult,Male,,,Teeth look small
Zca_Rakes_167,Unknown,Unknown,,Brown; moderate scarring; white head; not sure about teeth,,,,Subadult,Subadult ,Male,,,
Zca_Rakes_168,Unknown,Unknown,,Brown; nminmla scarring; pale head; not sure about teeth,,,,Subadult,Subadult ,Male,,,
Zca_Rakes_169,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult ,Adult,Female,,,
Zca_Rakes_170,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Subadult,Subadult ,Female,,,
Zca_Rakes_171,Unknown,Unknown,,Brown; minimal scarring; pale head; no teeth,,,,Adult ,Adult,Female,,,
Zca_Rakes_172,Unknown,Unknown,,Brown; minimal scarring; pale head; no teeth,,,,Subadult,Subadult ,Male,,,
Zca_Rakes_173,Unknown,Unknown,,Brown; minimal scarring,,,,Subadult,Subadult ,Female,,,
Zca_Rakes_174,Unknown,Unknown,,Brown; minimal scarring; pale head,,,,Adult ,Adult,Female,,,
Zca_Rakes_175,Unknown,Unknown,,Brown; minimal scarring,,,,Juvenile,Juvenile,Unk,,,
Zca_Rakes_176,Unknown,Unknown,,Brown; minimal scarring,,,,Adult ,Adult,Female,,,
Zca_Rakes_177,Unknown,Unknown,,Grey; minimal scarring; head very white,,,,Adult ,Adult,Female,,,
Zca_Rakes_178,Unknown,Unknown,,Brown; moderate scarring,,,,Subadult,Subadult ,Male,,,
Zca_Rakes_179,Unknown,Unknown,,Brown; minimal scarring,,,,Unk,Unk,Unk,,,
Zca_Rakes_180,Unknown,Unknown,,Brown; minimal scarring; pale head; no teeth,,,,Adult ,Adult,Female,,,
Zca_Rakes_181,Unknown,Unknown,,Brown; minimal scarring; no teeth,,,,Adult ,Adult,Female,,,
Zca_Rakes_182,Adult,Female,High,Calf in 2020 (Zca_Rakes_183); genetics,,HJF_20_007,,Reproductive,Adult,Female,,,
Zca_Rakes_183,Calf,Unknown,High,Calf of Zca_Rakes_182; Possibly Zca_Number4_20200820_SH2,,,,Calf- older,Calf- older,Unk,,,
Zca_Rakes_184,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
Zca_Rakes_185,Unknown,Unknown,,Gray; moderate scarring; white head,,,,Subadult,Subadult ,Male,,,
Zca_Rakes_186,Adult,Male,High,Erupted teeth,,,,Reproductive,Adult,Male,,,
