deployid,sex,baseline_end,cee_start,cee_id,series_start,series_end,ser_length,cee_start_idx,baseline_start_idx,baseline_end_idx
ZcTag088,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-06-02T14:35:00Z,2019-06-15T23:55:00Z,3857,1449,1,1449
ZcTag088,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-06-02T14:35:00Z,2019-06-15T23:55:00Z,3857,1449,1737,3857
ZcTag089,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-06-02T16:25:00Z,2019-06-15T23:55:00Z,3835,1427,1,1427
ZcTag089,U,2019-06-07T15:13:09Z,2019-06-07T15:13:09Z,19_02,2019-06-02T16:25:00Z,2019-06-15T23:55:00Z,3835,1427,1715,3835
ZcTag093,U,2019-08-06T17:37:43Z,2019-08-06T17:37:43Z,19_03,2019-07-30T13:05:00Z,2019-08-12T23:55:00Z,3683,2072,1,2072
ZcTag093,U,2019-08-06T17:37:43Z,2019-08-06T17:37:43Z,19_03,2019-07-30T13:05:00Z,2019-08-12T23:55:00Z,3683,2072,2360,3683
ZcTag095,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T16:25:00Z,2019-08-25T23:55:00Z,3739,2051,1,2051
ZcTag095,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T16:25:00Z,2019-08-25T23:55:00Z,3739,2051,2339,3739
ZcTag096,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T16:45:00Z,2019-08-25T23:55:00Z,3831,2047,1,2047
ZcTag096,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T16:45:00Z,2019-08-25T23:55:00Z,3831,2047,2335,3831
ZcTag097,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T17:10:00Z,2019-08-25T23:55:00Z,3826,2042,1,2042
ZcTag097,U,2019-08-19T19:11:00Z,2019-08-19T19:11:00Z,19_04,2019-08-12T17:10:00Z,2019-08-25T23:55:00Z,3826,2042,2330,3826
ZcTag101,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-07T16:00:00Z,2020-08-20T23:55:00Z,3840,3478,1,3478
ZcTag101,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-07T16:00:00Z,2020-08-20T23:55:00Z,3840,3478,3766,3840
ZcTag102,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-07T17:50:00Z,2020-08-20T23:55:00Z,3770,3456,1,3456
ZcTag102,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-07T17:50:00Z,2020-08-20T23:55:00Z,3770,3456,3744,3770
ZcTag103,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-08T14:30:00Z,2020-08-21T23:55:00Z,3858,3208,1,3208
ZcTag103,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-08T14:30:00Z,2020-08-21T23:55:00Z,3858,3208,3496,3858
ZcTag105,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-08T15:15:00Z,2020-08-21T23:50:00Z,3848,3199,1,3199
ZcTag105,U,2020-08-19T17:43:23Z,2020-08-19T17:43:23Z,20_03,2020-08-08T15:15:00Z,2020-08-21T23:50:00Z,3848,3199,3487,3848
