"DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","Date","original"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","17:10:00",NA,NA,NA,340,52.5,NA,NA,NA,NA,1659719400,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","17:15:00",NA,NA,NA,340,52.5,NA,NA,NA,NA,1659719700,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","17:20:00",NA,NA,NA,340,52.5,NA,NA,NA,NA,1659720000,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","17:25:00",NA,NA,NA,122,26,NA,NA,NA,NA,1659720300,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","17:30:00",NA,NA,NA,12,12.5,NA,NA,NA,NA,1659720600,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","17:35:00",NA,NA,NA,267,27.5,NA,NA,NA,NA,1659720900,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","17:40:00",NA,NA,NA,340,52.5,NA,NA,NA,NA,1659721200,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","17:45:00",NA,NA,NA,267,27.5,NA,NA,NA,NA,1659721500,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","17:50:00",NA,NA,NA,12,12.5,NA,NA,NA,NA,1659721800,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","17:55:00",NA,NA,NA,219,27,NA,NA,NA,NA,1659722100,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:00:00",NA,NA,NA,170,26.5,NA,NA,NA,NA,1659722400,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:05:00",NA,NA,NA,37,13,NA,NA,NA,NA,1659722700,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:10:00",NA,NA,NA,534,54.5,NA,NA,NA,NA,1659723000,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:15:00",NA,NA,NA,971,107.5,NA,NA,NA,NA,1659723300,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:20:00",NA,NA,NA,1165,109.5,NA,NA,NA,NA,1659723600,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:25:00",NA,NA,NA,1165,109.5,NA,NA,NA,NA,1659723900,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:30:00",NA,NA,NA,1360,112.5,NA,NA,NA,NA,1659724200,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:35:00",NA,NA,NA,1360,112.5,NA,NA,NA,NA,1659724500,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:40:00",NA,NA,NA,1165,109.5,NA,NA,NA,NA,1659724800,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:45:00",NA,NA,NA,1165,109.5,NA,NA,NA,NA,1659725100,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:50:00",NA,NA,NA,1165,109.5,NA,NA,NA,NA,1659725400,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","18:55:00",NA,NA,NA,971,107.5,NA,NA,NA,NA,1659725700,"portal"
"ZcTag135_DUML",220739,1,"Transmission","Mk10","05-Aug-2022","19:00:00",NA,NA,NA,777,105.5,NA,NA,NA,NA,1659726000,"portal"
