"DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","Date","original"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:00:00",NA,NA,NA,273,43,NA,NA,NA,NA,1655845200,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:05:00",NA,NA,NA,351,44,NA,NA,NA,NA,1655845500,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:10:00",NA,NA,NA,273,43,NA,NA,NA,NA,1655845800,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:15:00",NA,NA,NA,10,10,NA,NA,NA,NA,1655846100,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:20:00",NA,NA,NA,175,22.5,NA,NA,NA,NA,1655846400,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:25:00",NA,NA,NA,273,43,NA,NA,NA,NA,1655846700,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:30:00",NA,NA,NA,351,44,NA,NA,NA,NA,1655847000,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:35:00",NA,NA,NA,136,21.5,NA,NA,NA,NA,1655847300,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:40:00",NA,NA,NA,10,10,NA,NA,NA,NA,1655847600,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:45:00",NA,NA,NA,175,22.5,NA,NA,NA,NA,1655847900,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:50:00",NA,NA,NA,175,22.5,NA,NA,NA,NA,1655848200,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","21:55:00",NA,NA,NA,29,10.5,NA,NA,NA,NA,1655848500,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:00:00",NA,NA,NA,97,21.5,NA,NA,NA,NA,1655848800,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:05:00",NA,NA,NA,623,86.5,NA,NA,NA,NA,1655849100,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:10:00",NA,NA,NA,1091,93.5,NA,NA,NA,NA,1655849400,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:15:00",NA,NA,NA,1091,93.5,NA,NA,NA,NA,1655849700,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:20:00",NA,NA,NA,1091,93.5,NA,NA,NA,NA,1655850000,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:25:00",NA,NA,NA,1091,93.5,NA,NA,NA,NA,1655850300,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:30:00",NA,NA,NA,1091,93.5,NA,NA,NA,NA,1655850600,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:35:00",NA,NA,NA,1091,93.5,NA,NA,NA,NA,1655850900,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:40:00",NA,NA,NA,934,90.5,NA,NA,NA,NA,1655851200,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:45:00",NA,NA,NA,506,46,NA,NA,NA,NA,1655851500,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:50:00",NA,NA,NA,175,22.5,NA,NA,NA,NA,1655851800,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","22:55:00",NA,NA,NA,29,10.5,NA,NA,NA,NA,1655852100,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:00:00",NA,NA,NA,214,22.5,NA,NA,NA,NA,1655852400,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:05:00",NA,NA,NA,214,22.5,NA,NA,NA,NA,1655852700,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:10:00",NA,NA,NA,10,10,NA,NA,NA,NA,1655853000,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:15:00",NA,NA,NA,175,22.5,NA,NA,NA,NA,1655853300,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:20:00",NA,NA,NA,273,43,NA,NA,NA,NA,1655853600,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:25:00",NA,NA,NA,214,22.5,NA,NA,NA,NA,1655853900,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:30:00",NA,NA,NA,29,10.5,NA,NA,NA,NA,1655854200,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:35:00",NA,NA,NA,136,21.5,NA,NA,NA,NA,1655854500,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:40:00",NA,NA,NA,214,22.5,NA,NA,NA,NA,1655854800,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:45:00",NA,NA,NA,136,21.5,NA,NA,NA,NA,1655855100,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:50:00",NA,NA,NA,10,10,NA,NA,NA,NA,1655855400,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","21-Jun-2022","23:55:00",NA,NA,NA,175,22.5,NA,NA,NA,NA,1655855700,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","22-Jun-2022","00:00:00",NA,NA,NA,226,23.5,NA,NA,NA,NA,1655856000,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","22-Jun-2022","00:05:00",NA,NA,NA,103,22,NA,NA,NA,NA,1655856300,"portal"
"ZcTag129_DUML",201587,1,"Transmission","Mk10","22-Jun-2022","00:10:00",NA,NA,NA,10,10.5,NA,NA,NA,NA,1655856600,"portal"
