"DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","Date","original"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:00:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1660744800,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:05:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1660745100,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:10:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1660745400,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:15:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1660745700,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:20:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1660746000,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:25:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1660746300,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:30:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1660746600,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:35:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA,1660746900,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:40:00",NA,NA,NA,1115,108,NA,NA,NA,NA,1660747200,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:45:00",NA,NA,NA,1115,108,NA,NA,NA,NA,1660747500,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:50:00",NA,NA,NA,1115,108,NA,NA,NA,NA,1660747800,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","14:55:00",NA,NA,NA,929,105.5,NA,NA,NA,NA,1660748100,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:00:00",NA,NA,NA,511,53.5,NA,NA,NA,NA,1660748400,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:05:00",NA,NA,NA,163,26,NA,NA,NA,NA,1660748700,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:10:00",NA,NA,NA,58,13,NA,NA,NA,NA,1660749000,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:15:00",NA,NA,NA,209,26.5,NA,NA,NA,NA,1660749300,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:20:00",NA,NA,NA,209,26.5,NA,NA,NA,NA,1660749600,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:25:00",NA,NA,NA,209,26.5,NA,NA,NA,NA,1660749900,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:30:00",NA,NA,NA,12,12,NA,NA,NA,NA,1660750200,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:35:00",NA,NA,NA,163,26,NA,NA,NA,NA,1660750500,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:40:00",NA,NA,NA,209,26.5,NA,NA,NA,NA,1660750800,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:45:00",NA,NA,NA,116,25.5,NA,NA,NA,NA,1660751100,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:50:00",NA,NA,NA,12,12,NA,NA,NA,NA,1660751400,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","15:55:00",NA,NA,NA,12,12,NA,NA,NA,NA,1660751700,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","16:00:00",NA,NA,NA,13,13.5,NA,NA,NA,NA,1660752000,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","16:05:00",NA,NA,NA,370,57.5,NA,NA,NA,NA,1660752300,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","16:10:00",NA,NA,NA,846,116,NA,NA,NA,NA,1660752600,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","16:15:00",NA,NA,NA,1057,118,NA,NA,NA,NA,1660752900,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","16:20:00",NA,NA,NA,1268,120.5,NA,NA,NA,NA,1660753200,"portal"
"ZcTag132_DUML",220730,1,"Transmission","Mk10","17-Aug-2022","16:25:00",NA,NA,NA,1268,120.5,NA,NA,NA,NA,1660753500,"portal"
