"DeployID","Ptt","Instr","Date","Type","Quality","Latitude","Longitude","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation","Offset","Offset.orientation","GPE.MSD","GPE.U","Count","Comment","originaldate"
"ZcTag083_DUML",180755,"Mk10",1557613469,"Argos","0",35.3053,-74.6192,9834,59681,1620,75,NA,NA,NA,NA,NA,"","22:24:29 11-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557615030,"Argos","0",35.4928,-74.7112,2964,12863,682,48,NA,NA,NA,NA,NA,"","22:50:30 11-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557615131,"Argos","B",35.5188,-74.6955,4009,7866,2043,55,NA,NA,NA,NA,NA,"","22:52:11 11-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557621389,"Argos","0",35.4567,-74.6933,4160,29177,593,87,NA,NA,NA,NA,NA,"","00:36:29 12-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557621423,"Argos","0",35.444,-74.8488,4628,20490,1045,94,NA,NA,NA,NA,NA,"","00:37:03 12-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557625743,"Argos","0",35.598,-75.1163,21068,60763,7304,55,NA,NA,NA,NA,NA,"","01:49:03 12-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557629673,"Argos","B",35.6783,-75.1442,14231,27639,7327,83,NA,NA,NA,NA,NA,"","02:54:33 12-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557655991,"Argos","B",35.6831,-75.0617,15209,80648,2868,49,NA,NA,NA,NA,NA,"","10:13:11 12-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557666200,"Argos","0",35.6513,-74.6168,2391,7053,810,162,NA,NA,NA,NA,NA,"","13:03:20 12-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557671346,"Argos","A",35.6166,-74.6026,4850,25706,915,102,NA,NA,NA,NA,NA,"","14:29:06 12-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557672366,"Argos","1",35.5531,-74.8757,1149,4062,325,121,NA,NA,NA,NA,NA,"","14:46:06 12-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557679961,"Argos","B",35.5341,-75.09,7539,16052,3541,165,NA,NA,NA,NA,NA,"","16:52:41 12-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557699333,"Argos","B",35.5698,-75.0867,13223,53133,3290,104,NA,NA,NA,NA,NA,"","22:15:33 12-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557705885,"Argos","0",35.4935,-74.7228,6868,55393,851,96,NA,NA,NA,NA,NA,"","00:04:45 13-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557706007,"Argos","0",35.4957,-74.819,2378,7555,748,117,NA,NA,NA,NA,NA,"","00:06:47 13-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557713376,"Argos","0",35.5141,-74.781,2910,9331,907,24,NA,NA,NA,NA,NA,"","02:09:36 13-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557715023,"Argos","B",35.5097,-74.7628,2616,3747,1825,32,NA,NA,NA,NA,NA,"","02:37:03 13-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557744370,"Argos","A",35.4993,-74.4758,5429,24240,1215,56,NA,NA,NA,NA,NA,"","10:46:10 13-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557752036,"Argos","0",35.4714,-74.6479,3428,21019,558,73,NA,NA,NA,NA,NA,"","12:53:56 13-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557756998,"Argos","0",35.3286,-74.8775,36700,50393,26727,104,NA,NA,NA,NA,NA,"","14:16:38 13-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557761075,"Argos","B",35.4491,-74.8813,28878,54645,15261,102,NA,NA,NA,NA,NA,"","15:24:35 13-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557792777,"Argos","0",35.4573,-74.7163,3157,30530,326,47,NA,NA,NA,NA,NA,"","00:12:57 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557793626,"Argos","A",35.4736,-74.7018,1915,6736,544,156,NA,NA,NA,NA,NA,"","00:27:06 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557799020,"Argos","1",35.4646,-74.76,1049,4413,249,48,NA,NA,NA,NA,NA,"","01:57:00 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557803441,"Argos","B",35.4635,-74.7904,5185,6822,3939,89,NA,NA,NA,NA,NA,"","03:10:41 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557823813,"Argos","0",35.3866,-74.4359,3369,18147,625,57,NA,NA,NA,NA,NA,"","08:50:13 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557830765,"Argos","0",35.4179,-74.877,2407,8163,709,65,NA,NA,NA,NA,NA,"","10:46:05 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557843389,"Argos","A",35.5336,-74.6871,24519,39063,15390,129,NA,NA,NA,NA,NA,"","14:16:29 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557848003,"Argos","B",35.3665,-74.7024,19937,36525,10882,99,NA,NA,NA,NA,NA,"","15:33:23 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557850316,"Argos","B",35.3476,-74.7259,18008,31266,10371,100,NA,NA,NA,NA,NA,"","16:11:56 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557870963,"Argos","A",35.4928,-74.8616,12110,224168,654,90,NA,NA,NA,NA,NA,"","21:56:03 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557874787,"Argos","1",35.4666,-74.8851,1426,16308,124,103,NA,NA,NA,NA,NA,"","22:59:47 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557876072,"Argos","0",35.5084,-75.0004,3766,12261,1156,58,NA,NA,NA,NA,NA,"","23:21:12 14-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557887176,"Argos","0",35.5855,-74.9554,10708,81261,1411,99,NA,NA,NA,NA,NA,"","02:26:16 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557888358,"Argos","A",35.297,-74.7754,6034,53104,685,96,NA,NA,NA,NA,NA,"","02:45:58 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557909518,"Argos","B",35.352,-74.7782,20609,30092,14114,71,NA,NA,NA,NA,NA,"","08:38:38 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557909545,"Argos","A",35.4212,-74.7352,6973,16932,2871,86,NA,NA,NA,NA,NA,"","08:39:05 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557915611,"Argos","B",35.4031,-74.8119,12970,22151,7594,86,NA,NA,NA,NA,NA,"","10:20:11 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557915673,"Argos","0",35.2908,-74.8797,18544,510518,673,101,NA,NA,NA,NA,NA,"","10:21:13 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557927030,"Argos","1",35.3097,-74.8361,749,1901,294,27,NA,NA,NA,NA,NA,"","13:30:30 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557950355,"Argos","0",35.2491,-74.6346,10853,63631,1850,47,NA,NA,NA,NA,NA,"","19:59:15 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557956557,"Argos","0",35.3855,-74.7292,3154,36820,270,82,NA,NA,NA,NA,NA,"","21:42:37 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557959355,"Argos","1",35.326,-74.6726,1307,6086,280,74,NA,NA,NA,NA,NA,"","22:29:15 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557960904,"Argos","0",35.4367,-74.7721,1870,12290,284,60,NA,NA,NA,NA,NA,"","22:55:04 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557964613,"Argos","0",35.5386,-74.8088,4869,23888,992,69,NA,NA,NA,NA,NA,"","23:56:53 15-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557973577,"Argos","0",35.34,-74.7826,6719,60752,743,98,NA,NA,NA,NA,NA,"","02:26:17 16-May-2019"
"ZcTag083_DUML",180755,"Mk10",1557999868,"Argos","0",35.5156,-74.6416,2472,7900,773,133,NA,NA,NA,NA,NA,"","09:44:28 16-May-2019"
"ZcTag083_DUML",180755,"Mk10",1558005121,"Argos","A",35.4872,-74.6227,4211,24449,725,82,NA,NA,NA,NA,NA,"","11:12:01 16-May-2019"
"ZcTag083_DUML",180755,"Mk10",1558014730,"Argos","B",35.6017,-74.554,45253,68865,29736,87,NA,NA,NA,NA,NA,"","13:52:10 16-May-2019"
