"DeployID","Ptt","Instr","Date","Type","Quality","Latitude","Longitude","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation","Offset","Offset.orientation","GPE.MSD","GPE.U","Count","Comment","originaldate"
"ZcTag095_DUML",180766,"Mk10",1565650289,"Argos","0",35.7581,-74.8426,1806,6596,494,145,NA,NA,NA,NA,NA,"","22:51:29 12-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565650314,"Argos","2",35.7452,-74.8324,431,1247,149,101,NA,NA,NA,NA,NA,"","22:51:54 12-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565656976,"Argos","A",35.7845,-74.7414,3578,31068,412,174,NA,NA,NA,NA,NA,"","00:42:56 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565657492,"Argos","B",35.7235,-74.8403,3809,5223,2778,95,NA,NA,NA,NA,NA,"","00:51:32 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565659344,"Argos","A",35.7674,-74.7198,3238,12238,856,89,NA,NA,NA,NA,NA,"","01:22:24 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565660534,"Argos","0",35.7268,-74.643,5374,16723,1726,71,NA,NA,NA,NA,NA,"","01:42:14 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565666821,"Argos","B",35.7152,-74.6136,8347,12629,5517,83,NA,NA,NA,NA,NA,"","03:27:01 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565690833,"Argos","1",35.6857,-74.7105,971,8618,109,59,NA,NA,NA,NA,NA,"","10:07:13 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565704440,"Argos","0",35.7212,-74.885,8096,26109,2510,26,NA,NA,NA,NA,NA,"","13:54:00 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565708216,"Argos","0",35.7405,-74.5445,4938,36574,666,132,NA,NA,NA,NA,NA,"","14:56:56 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565713919,"Argos","B",35.7566,-74.5268,5126,8945,2937,123,NA,NA,NA,NA,NA,"","16:31:59 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565733261,"Argos","B",35.8004,-74.4647,14088,21386,9280,65,NA,NA,NA,NA,NA,"","21:54:21 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565738848,"Argos","A",35.5194,-74.7312,5894,27026,1285,79,NA,NA,NA,NA,NA,"","23:27:28 13-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565743271,"Argos","0",35.6226,-74.7148,14977,190519,1177,88,NA,NA,NA,NA,NA,"","00:41:11 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565744954,"Argos","B",35.6247,-74.7361,12275,51014,2953,87,NA,NA,NA,NA,NA,"","01:09:14 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565745643,"Argos","0",35.6482,-74.5993,4132,12328,1384,118,NA,NA,NA,NA,NA,"","01:20:43 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565748417,"Argos","0",35.6806,-74.7922,3454,22570,528,75,NA,NA,NA,NA,NA,"","02:06:57 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565749352,"Argos","B",35.6798,-74.7887,4408,7832,2480,77,NA,NA,NA,NA,NA,"","02:22:32 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565754290,"Argos","B",35.6916,-74.9223,9090,16262,5081,88,NA,NA,NA,NA,NA,"","03:44:50 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565780646,"Argos","1",35.6681,-74.7785,1407,4807,411,49,NA,NA,NA,NA,NA,"","11:04:06 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565790189,"Argos","0",35.7318,-74.7307,2182,20109,236,98,NA,NA,NA,NA,NA,"","13:43:09 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565794317,"Argos","0",35.6493,-74.6809,3851,33699,440,105,NA,NA,NA,NA,NA,"","14:51:57 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565821917,"Argos","0",35.7893,-74.7208,10733,113770,1012,98,NA,NA,NA,NA,NA,"","22:31:57 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565825411,"Argos","0",35.7526,-74.7849,5275,63742,436,95,NA,NA,NA,NA,NA,"","23:30:11 14-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565830101,"Argos","B",35.7344,-74.8231,15318,21546,10889,95,NA,NA,NA,NA,NA,"","00:48:21 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565833589,"Argos","1",35.6981,-74.674,882,1321,589,127,NA,NA,NA,NA,NA,"","01:46:29 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565859734,"Argos","B",35.5641,-74.7205,10125,14250,7194,96,NA,NA,NA,NA,NA,"","09:02:14 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565860334,"Argos","A",35.6904,-74.6787,4339,13714,1372,25,NA,NA,NA,NA,NA,"","09:12:14 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565866669,"Argos","A",35.6641,-74.6731,3784,6024,2376,72,NA,NA,NA,NA,NA,"","10:57:49 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565868302,"Argos","1",35.6722,-74.6958,1175,5805,237,47,NA,NA,NA,NA,NA,"","11:25:02 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565873847,"Argos","0",35.6599,-74.5412,2843,10627,760,176,NA,NA,NA,NA,NA,"","12:57:27 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565873897,"Argos","B",35.6696,-74.5419,2319,7042,763,176,NA,NA,NA,NA,NA,"","12:58:17 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565877773,"Argos","A",35.7894,-74.5535,3156,20596,483,90,NA,NA,NA,NA,NA,"","14:02:53 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565901033,"Argos","B",35.8964,-74.4246,11207,16174,7765,92,NA,NA,NA,NA,NA,"","20:30:33 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565907089,"Argos","0",35.618,-74.1831,5905,32831,1062,53,NA,NA,NA,NA,NA,"","22:11:29 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565910364,"Argos","B",35.587,-74.129,5376,14564,1984,55,NA,NA,NA,NA,NA,"","23:06:04 15-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565918497,"Argos","0",35.6544,-74.7075,3904,19624,776,63,NA,NA,NA,NA,NA,"","01:21:37 16-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565921146,"Argos","B",35.6525,-74.7232,23351,30165,18076,78,NA,NA,NA,NA,NA,"","02:05:46 16-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565924790,"Argos","B",35.6323,-74.7664,19605,68101,5644,25,NA,NA,NA,NA,NA,"","03:06:30 16-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565952902,"Argos","B",35.4794,-75.0269,2817,4101,1935,72,NA,NA,NA,NA,NA,"","10:55:02 16-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565956482,"Argos","A",35.6586,-74.8136,4360,31720,599,44,NA,NA,NA,NA,NA,"","11:54:42 16-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565964963,"Argos","B",35.6324,-74.781,3985,54819,289,95,NA,NA,NA,NA,NA,"","14:16:03 16-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565964963,"Argos","A",35.6334,-74.7919,3318,48484,227,95,NA,NA,NA,NA,NA,"","14:16:03 16-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565971500,"Argos","0",35.7302,-75.0213,10193,51809,2005,70,NA,NA,NA,NA,NA,"","16:05:00 16-Aug-2019"
"ZcTag095_DUML",180766,"Mk10",1565972548,"Argos","A",35.7299,-74.9747,6865,19420,2427,67,NA,NA,NA,NA,NA,"","16:22:28 16-Aug-2019"
