"DeployID","Ptt","Instr","Date","Type","Quality","Latitude","Longitude","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation","Offset","Offset.orientation","GPE.MSD","GPE.U","Count","Comment","originaldate"
"ZcTag081_DUML",175467,"Mk10",1533691054,"Argos","1",35.671,-75.0036,1140,8471,153,67,NA,NA,NA,NA,NA,"","01:17:34 08-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533691204,"Argos","B",35.5834,-74.9657,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","01:20:04 08-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533694443,"Argos","B",35.5873,-75.0799,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","02:14:03 08-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533696761,"Argos","A",35.4923,-74.7476,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","02:52:41 08-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533719398,"Argos","0",35.6467,-74.7633,2540,7632,845,142,NA,NA,NA,NA,NA,"","09:09:58 08-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533725443,"Argos","Z",35.6512,-74.4613,659620,NA,NA,NA,NA,NA,NA,NA,NA,"","10:50:43 08-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533725443,"Argos","0",35.6129,-74.9964,2294,10723,490,27,NA,NA,NA,NA,NA,"","10:50:43 08-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533734678,"Argos","0",35.7761,-75.6502,3231,159171,65,101,NA,NA,NA,NA,NA,"Lon > 4 deviations from mean","13:24:38 08-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533741166,"Argos","B",35.7711,-75.2796,434,4048,46,120,NA,NA,NA,NA,NA,"","15:12:46 08-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533766515,"Argos","A",35.5932,-75.0488,4426,34880,561,9,NA,NA,NA,NA,NA,"","22:15:15 08-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533775729,"Argos","0",35.5818,-74.7614,2672,41644,171,79,NA,NA,NA,NA,NA,"","00:48:49 09-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533775729,"Argos","0",35.5742,-74.8292,1797,5446,592,158,NA,NA,NA,NA,NA,"","00:48:49 09-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533776023,"Argos","0",35.5579,-74.7313,2126,5794,779,127,NA,NA,NA,NA,NA,"","00:53:43 09-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533781671,"Argos","A",35.5962,-75.1052,34840,343136,3537,16,NA,NA,NA,NA,NA,"","02:27:51 09-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533814185,"Argos","0",35.6693,-74.7754,7233,125947,415,92,NA,NA,NA,NA,NA,"","11:29:45 09-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533820413,"Argos","A",35.523,-74.8959,547,8154,36,91,NA,NA,NA,NA,NA,"","13:13:33 09-Aug-2018"
"ZcTag081_DUML",175467,"Mk10",1533820413,"Argos","A",35.5138,-74.8541,1154,19397,68,120,NA,NA,NA,NA,NA,"","13:13:33 09-Aug-2018"
