"DeployID","Ptt","Instr","Date","Type","Quality","Latitude","Longitude","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation","Offset","Offset.orientation","GPE.MSD","GPE.U","Count","Comment","originaldate"
"ZcTag069",171941,"Mk10",1527248145,"Argos","1",35.7846,-74.7207,1434,8063,255,127,NA,NA,NA,NA,NA,"","11:35:45 25-May-2018"
"ZcTag069",171941,"Mk10",1527248154,"Argos","0",35.8949,-74.7458,6225,162062,239,81,NA,NA,NA,NA,NA,"","11:35:54 25-May-2018"
"ZcTag069",171941,"Mk10",1527252621,"Argos","0",35.8676,-74.853,1886,36983,96,99,NA,NA,NA,NA,NA,"","12:50:21 25-May-2018"
"ZcTag069",171941,"Mk10",1527288721,"Argos","0",35.7311,-74.7695,5003,77939,321,73,NA,NA,NA,NA,NA,"","22:52:01 25-May-2018"
"ZcTag069",171941,"Mk10",1527299346,"Argos","Z",35.6887,-74.9503,163980,NA,NA,NA,NA,NA,NA,NA,NA,"","01:49:06 26-May-2018"
"ZcTag069",171941,"Mk10",1527302769,"Argos","A",35.6057,-74.8801,297889,NA,NA,NA,NA,NA,NA,NA,NA,"","02:46:09 26-May-2018"
"ZcTag069",171941,"Mk10",1527333310,"Argos","B",35.2316,-74.4429,47217,507604,4392,134,NA,NA,NA,NA,NA,"","11:15:10 26-May-2018"
"ZcTag069",171941,"Mk10",1527338398,"Argos","1",32.1012,-58.1818,1194,5654,252,68,NA,NA,NA,NA,NA,"Speed to avg loc 25 x median","12:39:58 26-May-2018"
"ZcTag069",171941,"Mk10",1527343782,"Argos","0",35.5955,-74.7555,2922,57813,147,93,NA,NA,NA,NA,NA,"","14:09:42 26-May-2018"
"ZcTag069",171941,"Mk10",1527363717,"Argos","0",35.5454,-75.2446,5182,142353,188,81,NA,NA,NA,NA,NA,"","19:41:57 26-May-2018"
"ZcTag069",171941,"Mk10",1527370219,"Argos","B",36.0841,-75.0338,3524,87817,141,126,NA,NA,NA,NA,NA,"","21:30:19 26-May-2018"
"ZcTag069",171941,"Mk10",1527384280,"Argos","B",35.7095,-74.4726,2849,116259,69,99,NA,NA,NA,NA,NA,"","01:24:40 27-May-2018"
"ZcTag069",171941,"Mk10",1527390701,"Argos","B",36.0127,-74.9437,7032,375508,131,125,NA,NA,NA,NA,NA,"","03:11:41 27-May-2018"
"ZcTag069",171941,"Mk10",1527408574,"Argos","0",35.8149,-74.5976,2976,8239,1074,177,NA,NA,NA,NA,NA,"","08:09:34 27-May-2018"
"ZcTag069",171941,"Mk10",1527423683,"Argos","B",36.0166,-74.7117,4202,56669,311,154,NA,NA,NA,NA,NA,"","12:21:23 27-May-2018"
"ZcTag069",171941,"Mk10",1527428549,"Argos","0",35.8064,-75.2528,32920,894391,1211,79,NA,NA,NA,NA,NA,"","13:42:29 27-May-2018"
"ZcTag069",171941,"Mk10",1527464682,"Argos","A",35.7557,-74.9025,4232,60695,295,67,NA,NA,NA,NA,NA,"","23:44:42 27-May-2018"
"ZcTag069",171941,"Mk10",1527469869,"Argos","0",35.8138,-75.09,8773,254444,302,46,NA,NA,NA,NA,NA,"","01:11:09 28-May-2018"
"ZcTag069",171941,"Mk10",1527475460,"Argos","0",35.7456,-74.7498,8941,223852,357,93,NA,NA,NA,NA,NA,"","02:44:20 28-May-2018"
"ZcTag069",171941,"Mk10",1527500575,"Argos","Z",35.4878,-73.0058,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lon > 4 deviations from mean","09:42:55 28-May-2018"
"ZcTag069",171941,"Mk10",1527507290,"Argos","B",35.5213,-74.8875,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","11:34:50 28-May-2018"
"ZcTag069",171941,"Mk10",1527520086,"Argos","0",35.7053,-74.7403,4954,110610,221,103,NA,NA,NA,NA,NA,"","15:08:06 28-May-2018"
"ZcTag069",171941,"Mk10",1527543657,"Argos","0",35.9217,-74.496,6216,107302,360,95,NA,NA,NA,NA,NA,"","21:40:57 28-May-2018"
"ZcTag069",171941,"Mk10",1527554936,"Argos","A",35.873,-74.6659,5351,104391,274,69,NA,NA,NA,NA,NA,"","00:48:56 29-May-2018"
