"DeployID","Ptt","Instr","Date","Type","Quality","Latitude","Longitude","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation","Offset","Offset.orientation","GPE.MSD","GPE.U","Count","Comment","originaldate"
"ZcTag132_DUML",220730,"Mk10",1659573831,"Argos","0",35.744,-74.5527,1826,6117,545,6,NA,NA,NA,NA,NA,"","00:43:51 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659578925,"Argos","1",35.7225,-74.5346,606,2929,125,52,NA,NA,NA,NA,NA,"","02:08:45 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659580259,"Argos","B",35.7208,-74.5333,1440,1845,1123,74,NA,NA,NA,NA,NA,"","02:30:59 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659605841,"Argos","0",35.683,-74.5768,8039,82010,788,53,NA,NA,NA,NA,NA,"","09:37:21 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659610856,"Argos","B",35.8083,-74.4349,4260,88196,205,100,NA,NA,NA,NA,NA,"","11:00:56 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659614948,"Argos","0",35.7753,-74.5679,1608,8741,295,133,NA,NA,NA,NA,NA,"","12:09:08 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659620883,"Argos","B",35.7914,-74.5929,6585,8193,5293,89,NA,NA,NA,NA,NA,"","13:48:03 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659620989,"Argos","0",35.743,-74.5982,1545,4316,553,171,NA,NA,NA,NA,NA,"","13:49:49 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659626855,"Argos","0",35.7375,-74.6385,5630,22324,1419,130,NA,NA,NA,NA,NA,"","15:27:35 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659649850,"Argos","0",35.6676,-74.8258,5974,51196,697,83,NA,NA,NA,NA,NA,"","21:50:50 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659652615,"Argos","1",35.6862,-74.6911,901,8881,91,103,NA,NA,NA,NA,NA,"","22:36:55 04-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659658707,"Argos","B",35.7011,-74.6275,3501,4574,2679,91,NA,NA,NA,NA,NA,"","00:18:27 05-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659664768,"Argos","0",35.6075,-74.7611,4607,45398,467,75,NA,NA,NA,NA,NA,"","01:59:28 05-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659664847,"Argos","0",35.6591,-74.6864,11470,194490,676,78,NA,NA,NA,NA,NA,"","02:00:47 05-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659702035,"Argos","B",35.5429,-74.6421,41126,72686,23268,85,NA,NA,NA,NA,NA,"","12:20:35 05-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659703839,"Argos","1",35.555,-74.6299,690,3845,123,88,NA,NA,NA,NA,NA,"","12:50:39 05-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659709473,"Argos","1",35.5718,-74.5364,583,2602,130,75,NA,NA,NA,NA,NA,"","14:24:33 05-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659709534,"Argos","1",35.5746,-74.5316,795,1577,400,74,NA,NA,NA,NA,NA,"","14:25:34 05-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659709561,"Argos","B",35.5727,-74.5342,674,1176,385,79,NA,NA,NA,NA,NA,"","14:26:01 05-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659715204,"Argos","0",35.6117,-74.5379,3487,33332,364,118,NA,NA,NA,NA,NA,"","16:00:04 05-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659715204,"Argos","0",35.6672,-74.6371,8969,94442,851,116,NA,NA,NA,NA,NA,"","16:00:04 05-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659746715,"Argos","0",35.6711,-74.5326,5568,63950,484,102,NA,NA,NA,NA,NA,"","00:45:15 06-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659753181,"Argos","A",35.6879,-74.4586,13477,166436,1091,94,NA,NA,NA,NA,NA,"","02:33:01 06-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659774630,"Argos","B",35.7458,-74.3839,5382,11568,2503,82,NA,NA,NA,NA,NA,"","08:30:30 06-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659780532,"Argos","1",35.8127,-74.4519,579,5357,62,73,NA,NA,NA,NA,NA,"","10:08:52 06-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659784517,"Argos","B",35.8574,-74.4315,2211,4851,1007,94,NA,NA,NA,NA,NA,"","11:15:17 06-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659790528,"Argos","0",35.8187,-74.5497,7470,176371,316,107,NA,NA,NA,NA,NA,"","12:55:28 06-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659795737,"Argos","0",35.7985,-74.4047,10070,95811,1058,88,NA,NA,NA,NA,NA,"","14:22:17 06-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659801185,"Argos","A",35.7772,-74.3946,8262,91055,749,98,NA,NA,NA,NA,NA,"","15:53:05 06-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659807032,"Argos","0",35.8027,-74.5771,5900,20899,1665,49,NA,NA,NA,NA,NA,"","17:30:32 06-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659829016,"Argos","2",35.7661,-74.64,296,876,99,139,NA,NA,NA,NA,NA,"","23:36:56 06-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659830486,"Argos","1",35.7607,-74.6745,751,2879,196,99,NA,NA,NA,NA,NA,"","00:01:26 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659830521,"Argos","1",35.7619,-74.6811,1005,3964,254,104,NA,NA,NA,NA,NA,"","00:02:01 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659831458,"Argos","1",35.7581,-74.6167,1499,15864,141,77,NA,NA,NA,NA,NA,"","00:17:38 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659835797,"Argos","0",35.7743,-74.6208,4283,10941,1676,77,NA,NA,NA,NA,NA,"","01:29:57 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659837956,"Argos","B",35.8007,-74.7316,7969,26277,2416,74,NA,NA,NA,NA,NA,"","02:05:56 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659842054,"Argos","2",35.7922,-74.601,392,522,294,161,NA,NA,NA,NA,NA,"","03:14:14 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659869493,"Argos","0",35.7842,-74.6209,4774,18746,1215,130,NA,NA,NA,NA,NA,"","10:51:33 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659879882,"Argos","0",35.8167,-74.744,3541,31084,403,84,NA,NA,NA,NA,NA,"","13:44:42 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659885534,"Argos","0",35.7768,-74.8397,2290,27241,192,108,NA,NA,NA,NA,NA,"","15:18:54 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659887088,"Argos","B",35.7765,-74.8391,3323,5835,1892,104,NA,NA,NA,NA,NA,"","15:44:48 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659914656,"Argos","A",35.8676,-74.9721,8158,32916,2021,67,NA,NA,NA,NA,NA,"","23:24:16 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659916608,"Argos","Z",35.8846,-74.4054,53075,167957,16771,61,NA,NA,NA,NA,NA,"","23:56:48 07-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659927596,"Argos","B",35.8231,-74.9373,7436,223843,247,73,NA,NA,NA,NA,NA,"","02:59:56 08-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659955969,"Argos","B",35.8471,-74.8936,8102,14973,4383,79,NA,NA,NA,NA,NA,"","10:52:49 08-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659967649,"Argos","0",35.8593,-74.8487,2921,23550,362,118,NA,NA,NA,NA,NA,"","14:07:29 08-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1659978569,"Argos","B",35.8707,-74.8437,4865,7308,3238,105,NA,NA,NA,NA,NA,"","17:09:29 08-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660005428,"Argos","0",35.9417,-74.7339,3531,37267,334,60,NA,NA,NA,NA,NA,"","00:37:08 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660005557,"Argos","B",35.9159,-74.779,2255,12360,411,61,NA,NA,NA,NA,NA,"","00:39:17 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660007428,"Argos","B",35.7643,-74.9665,1421,20543,98,64,NA,NA,NA,NA,NA,"","01:10:28 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660008747,"Argos","0",35.7517,-74.7763,7305,23888,2233,51,NA,NA,NA,NA,NA,"","01:32:27 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660011553,"Argos","B",35.8391,-74.7567,6370,35956,1128,80,NA,NA,NA,NA,NA,"","02:19:13 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660034448,"Argos","B",36.0292,-74.6681,16822,23489,12046,69,NA,NA,NA,NA,NA,"","08:40:48 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660045444,"Argos","0",35.9443,-74.7295,5220,26117,1043,48,NA,NA,NA,NA,NA,"","11:44:04 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660051339,"Argos","1",35.8278,-74.7295,801,1761,364,83,NA,NA,NA,NA,NA,"","13:22:19 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660056076,"Argos","2",35.8763,-74.7967,429,1200,153,78,NA,NA,NA,NA,NA,"","14:41:16 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660059015,"Argos","0",35.9211,-74.7767,1918,18331,200,107,NA,NA,NA,NA,NA,"","15:30:15 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660084409,"Argos","B",36.0317,-74.785,3910,28795,531,93,NA,NA,NA,NA,NA,"","22:33:29 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660086201,"Argos","B",36.0214,-74.7572,3773,13967,1019,92,NA,NA,NA,NA,NA,"","23:03:21 09-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660090810,"Argos","B",35.9433,-74.7009,5257,34239,807,81,NA,NA,NA,NA,NA,"","00:20:10 10-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660090831,"Argos","0",35.9745,-74.8057,6539,13094,3265,28,NA,NA,NA,NA,NA,"","00:20:31 10-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660092004,"Argos","B",35.9673,-74.7698,8179,14033,4766,5,NA,NA,NA,NA,NA,"","00:40:04 10-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660096701,"Argos","0",35.8756,-74.934,1611,7035,369,81,NA,NA,NA,NA,NA,"","01:58:21 10-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660098791,"Argos","0",35.9196,-74.7727,3205,28424,361,73,NA,NA,NA,NA,NA,"","02:33:11 10-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660130111,"Argos","B",36.0115,-74.1951,26784,43278,16575,76,NA,NA,NA,NA,NA,"Lon > 4 deviations from mean","11:15:11 10-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660147086,"Argos","0",35.7989,-74.6204,15371,152231,1552,94,NA,NA,NA,NA,NA,"","15:58:06 10-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660149669,"Argos","A",35.7787,-74.6366,9204,66702,1270,96,NA,NA,NA,NA,NA,"","16:41:09 10-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660170946,"Argos","0",35.842,-74.8784,9370,44945,1953,137,NA,NA,NA,NA,NA,"","22:35:46 10-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660170946,"Argos","0",35.9719,-74.9081,26513,155154,4530,133,NA,NA,NA,NA,NA,"","22:35:46 10-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660185019,"Argos","0",35.7408,-74.9044,8053,40703,1593,101,NA,NA,NA,NA,NA,"","02:30:19 11-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660185027,"Argos","B",35.6952,-74.7161,4842,13675,1714,97,NA,NA,NA,NA,NA,"","02:30:27 11-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660208989,"Argos","B",35.6396,-74.8311,10281,17949,5888,68,NA,NA,NA,NA,NA,"","09:09:49 11-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660209012,"Argos","A",35.8672,-74.6995,15215,66370,3488,82,NA,NA,NA,NA,NA,"","09:10:12 11-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660217696,"Argos","B",35.8532,-74.6952,22214,44572,11070,83,NA,NA,NA,NA,NA,"","11:34:56 11-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660226509,"Argos","A",35.8644,-74.7236,2583,14156,471,92,NA,NA,NA,NA,NA,"","14:01:49 11-Aug-2022"
"ZcTag132_DUML",220730,"Mk10",1660256209,"Argos","B",35.8454,-74.6869,1771,20476,153,67,NA,NA,NA,NA,NA,"","22:16:49 11-Aug-2022"
