"DeployID","Ptt","Instr","Date","Type","Quality","Latitude","Longitude","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation","Offset","Offset.orientation","GPE.MSD","GPE.U","Count","Comment","originaldate"
"ZcTag110_DUML",201581,"Mk10",1597100836,"Argos","0",35.5017,-74.7523,1510,19836,115,67,NA,NA,NA,NA,NA,"","23:07:16 10-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597102963,"Argos","B",35.4772,-74.7594,6660,20944,2117,69,NA,NA,NA,NA,NA,"","23:42:43 10-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597103705,"Argos","B",35.4737,-74.7602,6394,18227,2242,69,NA,NA,NA,NA,NA,"","23:55:05 10-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597106834,"Argos","B",35.5231,-74.7147,5056,6915,3697,93,NA,NA,NA,NA,NA,"","00:47:14 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597108383,"Argos","1",35.5156,-74.692,621,9441,40,83,NA,NA,NA,NA,NA,"","01:13:03 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597108463,"Argos","A",35.5157,-74.698,654,2319,184,82,NA,NA,NA,NA,NA,"","01:14:23 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597115541,"Argos","1",35.5121,-74.733,842,3471,204,122,NA,NA,NA,NA,NA,"","03:12:21 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597115917,"Argos","B",35.5097,-74.7313,1030,1612,657,111,NA,NA,NA,NA,NA,"","03:18:37 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597142893,"Argos","0",35.5894,-74.62,2375,7946,709,169,NA,NA,NA,NA,NA,"","10:48:13 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597142893,"Argos","2",35.5894,-74.6199,369,490,276,55,NA,NA,NA,NA,NA,"","10:48:13 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597151227,"Argos","0",35.4707,-74.5691,10824,25325,4626,76,NA,NA,NA,NA,NA,"","13:07:07 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597152773,"Argos","0",35.6492,-74.533,8699,103093,734,86,NA,NA,NA,NA,NA,"","13:32:53 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597154247,"Argos","0",35.6592,-74.5953,6576,67288,642,82,NA,NA,NA,NA,NA,"","13:57:27 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597154257,"Argos","B",35.6582,-74.5953,5399,43008,677,82,NA,NA,NA,NA,NA,"","13:57:37 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597156786,"Argos","B",35.6494,-74.5845,5509,11829,2565,85,NA,NA,NA,NA,NA,"","14:39:46 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597160430,"Argos","0",35.6661,-74.5767,1629,13538,196,97,NA,NA,NA,NA,NA,"","15:40:30 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597160456,"Argos","1",35.6787,-74.6965,623,887,437,64,NA,NA,NA,NA,NA,"","15:40:56 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597177824,"Argos","A",35.6291,-74.6969,4301,15769,1173,5,NA,NA,NA,NA,NA,"","20:30:24 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597185822,"Argos","0",35.6286,-74.7053,4983,22692,1094,55,NA,NA,NA,NA,NA,"","22:43:42 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597187289,"Argos","0",35.5615,-74.7936,1715,14078,208,110,NA,NA,NA,NA,NA,"","23:08:09 11-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597191855,"Argos","0",35.6675,-74.7186,10160,25199,4096,110,NA,NA,NA,NA,NA,"","00:24:15 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597193230,"Argos","A",35.5558,-74.8113,2806,11063,711,123,NA,NA,NA,NA,NA,"","00:47:10 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597193388,"Argos","0",35.5197,-74.7328,4451,19195,1032,128,NA,NA,NA,NA,NA,"","00:49:48 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597197915,"Argos","B",35.4442,-74.6807,5913,10831,3228,77,NA,NA,NA,NA,NA,"","02:05:15 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597201243,"Argos","0",35.5035,-74.6538,2467,21620,281,94,NA,NA,NA,NA,NA,"","03:00:43 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597201285,"Argos","B",35.5043,-74.6597,1840,12321,274,93,NA,NA,NA,NA,NA,"","03:01:25 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597221674,"Argos","B",35.4956,-74.6636,12833,16179,10178,94,NA,NA,NA,NA,NA,"","08:41:14 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597233420,"Argos","0",35.4838,-74.626,2351,19435,284,105,NA,NA,NA,NA,NA,"","11:57:00 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597240179,"Argos","0",35.4795,-74.7718,2935,11064,778,22,NA,NA,NA,NA,NA,"","13:49:39 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597241899,"Argos","B",35.4795,-74.7718,4035,4930,3301,37,NA,NA,NA,NA,NA,"","14:18:19 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597270264,"Argos","B",35.4694,-74.8903,10794,16595,7021,92,NA,NA,NA,NA,NA,"","22:11:04 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597275511,"Argos","0",35.3681,-74.8184,4920,46453,521,105,NA,NA,NA,NA,NA,"","23:38:31 12-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597276814,"Argos","B",35.369,-74.8194,4204,12452,1419,103,NA,NA,NA,NA,NA,"","00:00:14 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597277924,"Argos","0",35.3304,-74.8022,6370,18067,2245,90,NA,NA,NA,NA,NA,"","00:18:44 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597280965,"Argos","0",35.3908,-74.7984,9347,40174,2174,88,NA,NA,NA,NA,NA,"","01:09:25 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597286920,"Argos","A",35.4272,-74.7154,8831,17160,4544,97,NA,NA,NA,NA,NA,"","02:48:40 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597286933,"Argos","0",35.4043,-74.6952,2663,9121,777,68,NA,NA,NA,NA,NA,"","02:48:53 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597311990,"Argos","0",35.4486,-74.6808,4005,54698,293,79,NA,NA,NA,NA,NA,"","09:46:30 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597317984,"Argos","1",35.4097,-74.8276,998,4366,228,112,NA,NA,NA,NA,NA,"","11:26:24 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597320907,"Argos","1",35.4005,-74.8465,738,4323,126,115,NA,NA,NA,NA,NA,"","12:15:07 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597325824,"Argos","0",35.3704,-74.7601,2011,6964,580,175,NA,NA,NA,NA,NA,"","13:37:04 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597326867,"Argos","0",35.2978,-74.7737,2577,10634,624,117,NA,NA,NA,NA,NA,"","13:54:27 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597329173,"Argos","B",35.3426,-74.7867,1812,10977,299,96,NA,NA,NA,NA,NA,"","14:32:53 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597331638,"Argos","1",35.3472,-74.808,1230,2717,556,122,NA,NA,NA,NA,NA,"","15:13:58 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597333998,"Argos","B",35.3086,-74.7807,1310,2028,845,122,NA,NA,NA,NA,NA,"","15:53:18 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597355669,"Argos","B",35.3168,-74.8478,2798,3219,2432,92,NA,NA,NA,NA,NA,"","21:54:29 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597362557,"Argos","B",35.3171,-74.8407,3246,4113,2561,72,NA,NA,NA,NA,NA,"","23:49:17 13-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597363737,"Argos","0",35.3074,-74.8631,6150,85043,444,88,NA,NA,NA,NA,NA,"","00:08:57 14-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597370079,"Argos","1",35.3534,-74.8494,918,4677,180,58,NA,NA,NA,NA,NA,"","01:54:39 14-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597416080,"Argos","1",35.497,-74.5809,1002,3655,274,120,NA,NA,NA,NA,NA,"","14:41:20 14-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597417317,"Argos","0",35.5399,-74.5232,3742,10578,1323,125,NA,NA,NA,NA,NA,"","15:01:57 14-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597418679,"Argos","0",35.5206,-74.5404,1834,11762,286,122,NA,NA,NA,NA,NA,"","15:24:39 14-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597420295,"Argos","0",35.6003,-74.6169,3652,7294,1828,76,NA,NA,NA,NA,NA,"","15:51:35 14-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597440939,"Argos","0",35.5617,-74.5686,2869,15222,540,35,NA,NA,NA,NA,NA,"","21:35:39 14-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597451021,"Argos","A",35.7004,-74.5212,3690,6686,2036,86,NA,NA,NA,NA,NA,"","00:23:41 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597452797,"Argos","A",35.7406,-74.5652,4004,10737,1492,65,NA,NA,NA,NA,NA,"","00:53:17 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597452826,"Argos","0",35.6983,-74.6376,1975,3147,1239,99,NA,NA,NA,NA,NA,"","00:53:46 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597453632,"Argos","B",35.7082,-74.5883,1201,2488,579,157,NA,NA,NA,NA,NA,"","01:07:12 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597455067,"Argos","0",35.7364,-74.5857,1811,11674,280,92,NA,NA,NA,NA,NA,"","01:31:07 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597456901,"Argos","1",35.7723,-74.6077,1398,33348,58,77,NA,NA,NA,NA,NA,"","02:01:41 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597462601,"Argos","B",35.8294,-74.6224,2692,4024,1801,80,NA,NA,NA,NA,NA,"","03:36:41 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597481317,"Argos","0",35.6323,-74.6787,9106,37267,2224,117,NA,NA,NA,NA,NA,"","08:48:37 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597491869,"Argos","0",35.6723,-74.7385,1697,22884,125,97,NA,NA,NA,NA,NA,"","11:44:29 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597497752,"Argos","B",35.6898,-74.778,2056,5058,835,100,NA,NA,NA,NA,NA,"","13:22:32 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597499446,"Argos","0",35.6073,-74.7488,9414,207041,428,97,NA,NA,NA,NA,NA,"","13:50:46 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597505443,"Argos","0",35.6382,-74.8161,3348,15984,701,81,NA,NA,NA,NA,NA,"","15:30:43 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597509307,"Argos","B",35.6566,-74.784,2541,3650,1768,64,NA,NA,NA,NA,NA,"","16:35:07 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597530902,"Argos","0",35.4855,-74.7419,2882,34616,239,77,NA,NA,NA,NA,NA,"","22:35:02 15-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597540038,"Argos","0",35.3839,-75.0094,7006,253429,193,79,NA,NA,NA,NA,NA,"","01:07:18 16-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597545007,"Argos","0",35.4673,-74.9087,7531,103512,547,92,NA,NA,NA,NA,NA,"","02:30:07 16-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597575250,"Argos","0",35.6145,-74.7117,5622,36391,868,128,NA,NA,NA,NA,NA,"","10:54:10 16-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597581551,"Argos","0",35.5284,-74.7172,5442,102659,288,104,NA,NA,NA,NA,NA,"","12:39:11 16-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597586458,"Argos","1",35.5036,-74.6146,964,3156,294,48,NA,NA,NA,NA,NA,"","14:00:58 16-Aug-2020"
"ZcTag110_DUML",201581,"Mk10",1597589004,"Argos","1",35.5164,-74.5947,1152,16552,80,97,NA,NA,NA,NA,NA,"","14:43:24 16-Aug-2020"
