"DeployID","Ptt","Instr","Date","Type","Quality","Latitude","Longitude","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation","Offset","Offset.orientation","GPE.MSD","GPE.U","Count","Comment","originaldate"
"ZcTag131_DUML",220734,"Mk10",1659573768,"Argos","B",33.7226,-84.4543,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","00:42:48 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659579653,"Argos","Z",34.6223,-83.8307,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","02:20:53 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659579753,"Argos","1",33.7317,-84.5239,1417,6259,320,55,NA,NA,NA,NA,NA,"Lat > 4 deviations from mean","02:22:33 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659584819,"Argos","Z",33.5506,-84.2333,9895,11952,8192,79,NA,NA,NA,NA,NA,"Lat > 4 deviations from mean","03:46:59 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659586040,"Argos","Z",34.3708,-84.1743,10642,13645,8299,91,NA,NA,NA,NA,NA,"Lon > 4 deviations from mean","04:07:20 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659605902,"Argos","Z",31.8023,-81.5954,842871,NA,NA,NA,NA,NA,NA,NA,NA,"Lat > 4 deviations from mean","09:38:22 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659610960,"Argos","A",36.0208,-74.2822,3586,26586,483,99,NA,NA,NA,NA,NA,"","11:02:40 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659611232,"Argos","0",36.0099,-74.3824,3138,7709,1276,151,NA,NA,NA,NA,NA,"","11:07:12 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659611841,"Argos","B",36.01,-74.3824,4770,5537,4108,113,NA,NA,NA,NA,NA,"","11:17:21 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659620748,"Argos","B",35.8517,-74.5349,9196,42644,1983,122,NA,NA,NA,NA,NA,"","13:45:48 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659652509,"Argos","1",35.6946,-74.6231,506,1176,217,48,NA,NA,NA,NA,NA,"","22:35:09 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659655516,"Argos","1",35.6691,-74.6432,1042,8116,133,70,NA,NA,NA,NA,NA,"","23:25:16 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659655572,"Argos","1",35.6854,-74.627,1121,3369,372,113,NA,NA,NA,NA,NA,"","23:26:12 04-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659661519,"Argos","A",35.6607,-74.6584,6498,33193,1272,107,NA,NA,NA,NA,NA,"","01:05:19 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659661530,"Argos","A",35.6424,-74.6269,7883,12729,4881,51,NA,NA,NA,NA,NA,"","01:05:30 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659661556,"Argos","B",35.651,-74.6186,2564,5256,1250,48,NA,NA,NA,NA,NA,"","01:05:56 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659664506,"Argos","A",35.6675,-74.6272,3537,18454,677,75,NA,NA,NA,NA,NA,"","01:55:06 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659665393,"Argos","A",35.6635,-74.6273,4614,14099,1510,76,NA,NA,NA,NA,NA,"","02:09:53 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659665395,"Argos","B",35.6654,-74.6236,6853,20161,2329,76,NA,NA,NA,NA,NA,"","02:09:55 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659670442,"Argos","B",35.6401,-74.6295,5594,10253,3051,70,NA,NA,NA,NA,NA,"","03:34:02 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659690032,"Argos","0",35.8186,-74.4444,11240,60644,2083,39,NA,NA,NA,NA,NA,"","09:00:32 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659690903,"Argos","B",35.8184,-74.4441,8642,21653,3448,40,NA,NA,NA,NA,NA,"","09:15:03 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659696026,"Argos","0",35.8205,-74.4263,2723,39469,187,87,NA,NA,NA,NA,NA,"","10:40:26 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659696035,"Argos","0",35.8202,-74.4316,2625,25048,275,86,NA,NA,NA,NA,NA,"","10:40:35 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659703742,"Argos","1",35.7893,-74.4648,628,2785,141,133,NA,NA,NA,NA,NA,"","12:49:02 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659705969,"Argos","A",35.7831,-74.4642,1045,2203,495,92,NA,NA,NA,NA,NA,"","13:26:09 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659706009,"Argos","A",35.801,-74.4659,1894,12417,289,97,NA,NA,NA,NA,NA,"","13:26:49 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659712481,"Argos","B",35.7871,-74.4648,7884,11335,5483,93,NA,NA,NA,NA,NA,"","15:14:41 05-Aug-2022"
"ZcTag131_DUML",220734,"Mk10",1659743787,"Argos","B",35.6887,-74.4427,7459,35566,1564,78,NA,NA,NA,NA,NA,"","23:56:27 05-Aug-2022"
