"DeployID","Ptt","Instr","Date","Type","Quality","Latitude","Longitude","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation","Offset","Offset.orientation","GPE.MSD","GPE.U","Count","Comment","originaldate"
"ZcTag082_DUML",180754,"Mk10",1557607756,"Argos","0",35.572,-74.6582,1855,17893,192,86,NA,NA,NA,NA,NA,"","20:49:16 11-May-2019"
"ZcTag082_DUML",180754,"Mk10",1557621248,"Argos","0",35.1949,-74.8385,17489,66188,4621,103,NA,NA,NA,NA,NA,"","00:34:08 12-May-2019"
"ZcTag082_DUML",180754,"Mk10",1557621266,"Argos","0",35.3845,-75.2781,9123,34882,2386,73,NA,NA,NA,NA,NA,"","00:34:26 12-May-2019"
"ZcTag082_DUML",180754,"Mk10",1557621275,"Argos","0",35.4918,-74.9007,2477,3240,1894,11,NA,NA,NA,NA,NA,"","00:34:35 12-May-2019"
"ZcTag082_DUML",180754,"Mk10",1557621292,"Argos","0",29.349,-104.002,16185,335773,780,77,NA,NA,NA,NA,NA,"Speed to avg loc 82 x median","00:34:52 12-May-2019"
"ZcTag082_DUML",180754,"Mk10",1557623687,"Argos","0",40.8315,-49.2641,7185,142784,361,96,NA,NA,NA,NA,NA,"Speed to avg loc 67 x median","01:14:47 12-May-2019"
"ZcTag082_DUML",180754,"Mk10",1557627445,"Argos","B",35.6815,-74.6662,6594,18907,2299,58,NA,NA,NA,NA,NA,"","02:17:25 12-May-2019"
"ZcTag082_DUML",180754,"Mk10",1557627453,"Argos","0",35.1525,-73.4222,22426,538268,934,91,NA,NA,NA,NA,NA,"","02:17:33 12-May-2019"
"ZcTag082_DUML",180754,"Mk10",1557629864,"Argos","Z",35.2371,-74.242,6090,22147,1674,96,NA,NA,NA,NA,NA,"","02:57:44 12-May-2019"
"ZcTag082_DUML",180754,"Mk10",1557651991,"Argos","0",27.952,-43.0452,31968,977371,1045,130,NA,NA,NA,NA,NA,"Speed to avg loc 90 x median","09:06:31 12-May-2019"
