"DeployID","Ptt","Instr","Date","Type","Quality","Latitude","Longitude","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation","Offset","Offset.orientation","GPE.MSD","GPE.U","Count","Comment","originaldate"
"ZcTag063",171934,"Mk10",1503264067,"Argos","A",35.3645,-74.9228,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","21:21:07 20-Aug-2017"
"ZcTag063",171934,"Mk10",1503269713,"Argos","0",35.5074,-74.6663,1900,11077,326,121,NA,NA,NA,NA,NA,"","22:55:13 20-Aug-2017"
"ZcTag063",171934,"Mk10",1503271140,"Argos","0",35.4101,-74.5253,2369,11657,481,107,NA,NA,NA,NA,NA,"","23:19:00 20-Aug-2017"
"ZcTag063",171934,"Mk10",1503277807,"Argos","0",35.128,-75.5374,18884,766543,465,51,NA,NA,NA,NA,NA,"Lon > 4 deviations from mean","01:10:07 21-Aug-2017"
"ZcTag063",171934,"Mk10",1503308723,"Argos","B",35.2666,-74.374,1929,38652,96,140,NA,NA,NA,NA,NA,"","09:45:23 21-Aug-2017"
"ZcTag063",171934,"Mk10",1503317203,"Argos","0",35.4955,-74.5555,2956,28438,307,100,NA,NA,NA,NA,NA,"","12:06:43 21-Aug-2017"
"ZcTag063",171934,"Mk10",1503325107,"Argos","A",35.5211,-74.6673,35821,832443,1541,113,NA,NA,NA,NA,NA,"","14:18:27 21-Aug-2017"
"ZcTag063",171934,"Mk10",1503349976,"Argos","A",35.4981,-74.8571,65110,976804,4340,27,NA,NA,NA,NA,NA,"","21:12:56 21-Aug-2017"
"ZcTag063",171934,"Mk10",1503355833,"Argos","B",35.2158,-74.5788,1015,19143,53,126,NA,NA,NA,NA,NA,"","22:50:33 21-Aug-2017"
"ZcTag063",171934,"Mk10",1503357786,"Argos","0",35.3739,-74.5973,4653,56133,385,79,NA,NA,NA,NA,NA,"","23:23:06 21-Aug-2017"
"ZcTag063",171934,"Mk10",1503365894,"Argos","0",35.4202,-74.7297,4221,15909,1119,14,NA,NA,NA,NA,NA,"","01:38:14 22-Aug-2017"
"ZcTag063",171934,"Mk10",1503407158,"Argos","0",35.4113,-74.5463,11520,103318,1284,41,NA,NA,NA,NA,NA,"","13:05:58 22-Aug-2017"
"ZcTag063",171934,"Mk10",1503408096,"Argos","B",35.4163,-74.6464,3097,56517,169,123,NA,NA,NA,NA,NA,"","13:21:36 22-Aug-2017"
"ZcTag063",171934,"Mk10",1503410231,"Argos","A",35.4689,-74.7081,52387,NA,NA,NA,NA,NA,NA,NA,NA,"","13:57:11 22-Aug-2017"
"ZcTag063",171934,"Mk10",1503416486,"Argos","0",35.3309,-74.5821,8118,107880,610,106,NA,NA,NA,NA,NA,"","15:41:26 22-Aug-2017"
"ZcTag063",171934,"Mk10",1503435305,"Argos","Z",35.6212,-73.6866,301731,NA,NA,NA,NA,NA,NA,NA,NA,"","20:55:05 22-Aug-2017"
"ZcTag063",171934,"Mk10",1503441073,"Argos","A",35.5068,-74.3795,463,6468,33,73,NA,NA,NA,NA,NA,"","22:31:13 22-Aug-2017"
"ZcTag063",171934,"Mk10",1503442888,"Argos","1",35.5046,-74.6124,1231,24056,63,73,NA,NA,NA,NA,NA,"","23:01:28 22-Aug-2017"
"ZcTag063",171934,"Mk10",1503450883,"Argos","B",35.4156,-75.0852,18291,867160,385,107,NA,NA,NA,NA,NA,"","01:14:43 23-Aug-2017"
"ZcTag063",171934,"Mk10",1503474544,"Argos","B",35.298,-73.767,5058,48005,532,134,NA,NA,NA,NA,NA,"","07:49:04 23-Aug-2017"
"ZcTag063",171934,"Mk10",1503486530,"Argos","B",35.7183,-74.3226,2951,38694,225,61,NA,NA,NA,NA,NA,"","11:08:50 23-Aug-2017"
"ZcTag063",171934,"Mk10",1503487114,"Argos","0",35.7378,-74.4205,2543,3767,1716,20,NA,NA,NA,NA,NA,"","11:18:34 23-Aug-2017"
"ZcTag063",171934,"Mk10",1503493197,"Argos","1",42.8118,-110.8918,741,3617,151,71,NA,NA,NA,NA,NA,"Lat > 4 deviations from mean","12:59:57 23-Aug-2017"
"ZcTag063",171934,"Mk10",1503521522,"Argos","0",35.7527,-74.2856,3052,61851,150,86,NA,NA,NA,NA,NA,"","20:52:02 23-Aug-2017"
"ZcTag063",171934,"Mk10",1503539149,"Argos","B",35.6061,-75.3389,477,7038,32,82,NA,NA,NA,NA,NA,"","01:45:49 24-Aug-2017"
"ZcTag063",171934,"Mk10",1503560143,"Argos","B",35.4699,-75.0023,745,8904,62,115,NA,NA,NA,NA,NA,"","07:35:43 24-Aug-2017"
"ZcTag063",171934,"Mk10",1503566227,"Argos","A",35.5326,-74.167,35836,NA,NA,NA,NA,NA,NA,NA,NA,"","09:17:07 24-Aug-2017"
"ZcTag063",171934,"Mk10",1503577682,"Argos","B",36.0601,-76.2358,1676,28556,98,123,NA,NA,NA,NA,NA,"","12:28:02 24-Aug-2017"
"ZcTag063",171934,"Mk10",1503577830,"Argos","0",35.6288,-74.6801,2262,13491,379,104,NA,NA,NA,NA,NA,"","12:30:30 24-Aug-2017"
"ZcTag063",171934,"Mk10",1503606879,"Argos","0",35.5975,-74.4629,3061,36582,256,79,NA,NA,NA,NA,NA,"","20:34:39 24-Aug-2017"
"ZcTag063",171934,"Mk10",1503612254,"Argos","B",35.722,-74.6393,20321,NA,NA,NA,NA,NA,NA,NA,NA,"","22:04:14 24-Aug-2017"
"ZcTag063",171934,"Mk10",1503629969,"Argos","B",35.4904,-74.8591,5973,152670,233,51,NA,NA,NA,NA,NA,"","02:59:29 25-Aug-2017"
