 11452.85	9.85	mfa
 11478.09	12.18	mfa
 11503.42	14.98	mfa
 11528.66	13.19	mfa
 11554.03	11.91	mfa
 11579.31	14.11	mfa
 11604.69	16.90	mfa
 11629.98	11.50	mfa
 11655.17	14.75	mfa
 11680.54	14.47	mfa
 11705.83	12.50	mfa
 11731.07	15.62	mfa
 11756.12	17.18	mfa
 11781.45	15.30	mfa
 11806.83	17.04	mfa
 11831.93	17.77	mfa
 11857.40	16.35	mfa
 11882.73	15.53	mfa
 11908.06	14.15	mfa
 11933.70	16.68	mfa
 11958.99	14.43	mfa
 11984.32	14.75	mfa
 12009.79	18.73	mfa
 12035.07	16.17	mfa
 12060.44	16.63	mfa
 12085.73	17.04	mfa
 12111.20	17.23	mfa
 12136.48	17.31	mfa
 12161.86	16.08	mfa
 12187.10	19.92	mfa
 12212.52	18.00	mfa
 12237.75	17.45	mfa
 12263.18	17.82	mfa
 12288.51	18.00	mfa
 12313.93	17.95	mfa
 12339.17	19.33	mfa
 12364.36	16.99	mfa
 12389.87	18.32	mfa
 12415.29	18.05	mfa
 12440.72	16.53	mfa
 12466.14	19.29	mfa
 12491.47	17.22	mfa
 12516.70	17.54	mfa
 12542.13	16.95	mfa
 12567.50	16.21	mfa
 12592.92	17.23	mfa
 12618.25	16.99	mfa
 12643.58	18.00	mfa
 12668.91	16.63	mfa
 12694.29	16.35	mfa
 12719.53	17.04	mfa
 12744.99	17.31	mfa
 12770.32	17.77	mfa
 12795.61	17.31	mfa
 12821.12	17.59	mfa
 12846.45	15.66	mfa
 12871.78	17.59	mfa
 12896.84	18.46	mfa
 12922.44	17.40	mfa
 12947.86	17.59	mfa
 12973.10	16.76	mfa
 12998.52	19.24	mfa
 13023.90	18.73	mfa
 13049.36	17.63	mfa
 13074.70	16.40	mfa
 13100.12	16.90	mfa
 13125.44	18.28	mfa
 13150.73	16.35	mfa
 13176.06	17.87	mfa
 13201.71	17.86	mfa
 13851.22	13.74	mfa
 13876.77	14.89	mfa
 13902.24	14.94	mfa
 13927.48	15.30	mfa
 13953.04	14.29	mfa
 13978.32	13.79	mfa
 14003.79	13.56	mfa
 14029.26	13.74	mfa
 14054.63	12.96	mfa
 14080.15	16.03	mfa
 14105.25	14.43	mfa
 14130.85	14.29	mfa
 14156.32	15.30	mfa
 14181.60	15.21	mfa
 14206.93	14.98	mfa
 14232.26	12.82	mfa
 14257.77	14.02	mfa
 14283.15	12.78	mfa
 14308.48	12.46	mfa
 14333.81	15.48	mfa
 14359.28	14.66	mfa
 14384.61	14.25	mfa
 14409.98	15.02	mfa
 14435.31	14.57	mfa
 14460.74	14.66	mfa
 14486.25	13.19	mfa
 14511.53	13.83	mfa
 14536.95	14.47	mfa
 14562.28	14.34	mfa
 14587.52	14.11	mfa
 14613.03	15.26	mfa
 14638.55	13.47	mfa
 14663.97	12.55	mfa
 14689.35	13.92	mfa
 14714.58	12.46	mfa
 14740.23	11.96	mfa
 14765.52	14.61	mfa
 14790.66	13.38	mfa
 14816.32	13.10	mfa
 14841.69	14.24	mfa
 14867.11	13.51	mfa
 14892.53	14.20	mfa
 14917.91	15.12	mfa
 14943.10	14.70	mfa
 14968.80	15.90	mfa
 14994.13	15.07	mfa
 15019.18	14.20	mfa
 15044.93	14.24	mfa
 15070.26	14.24	mfa
 15095.49	13.84	mfa
 15120.87	13.15	mfa
 15146.29	13.92	mfa
 15171.71	15.39	mfa
 15197.00	14.47	mfa
 15222.37	15.89	mfa
 15248.21	12.69	mfa
 15273.21	13.01	mfa
 15298.82	12.92	mfa
 15324.33	12.50	mfa
 15349.53	12.96	mfa
